StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-03-03T23:45+00:00Z,2022-03-04T00:00+00:00Z,10Y1001A1001A83F,MAW,B17,902
2022-03-04T00:00+00:00Z,2022-03-04T00:15+00:00Z,10Y1001A1001A83F,MAW,B17,902
2022-03-04T00:15+00:00Z,2022-03-04T00:30+00:00Z,10Y1001A1001A83F,MAW,B17,902
2022-03-04T00:30+00:00Z,2022-03-04T00:45+00:00Z,10Y1001A1001A83F,MAW,B17,903
2022-03-04T00:45+00:00Z,2022-03-04T01:00+00:00Z,10Y1001A1001A83F,MAW,B17,898
2022-03-04T01:00+00:00Z,2022-03-04T01:15+00:00Z,10Y1001A1001A83F,MAW,B17,895
2022-03-04T01:15+00:00Z,2022-03-04T01:30+00:00Z,10Y1001A1001A83F,MAW,B17,895
2022-03-04T01:30+00:00Z,2022-03-04T01:45+00:00Z,10Y1001A1001A83F,MAW,B17,898
2022-03-04T01:45+00:00Z,2022-03-04T02:00+00:00Z,10Y1001A1001A83F,MAW,B17,876
2022-03-04T02:00+00:00Z,2022-03-04T02:15+00:00Z,10Y1001A1001A83F,MAW,B17,869
2022-03-04T02:15+00:00Z,2022-03-04T02:30+00:00Z,10Y1001A1001A83F,MAW,B17,865
2022-03-04T02:30+00:00Z,2022-03-04T02:45+00:00Z,10Y1001A1001A83F,MAW,B17,866
2022-03-04T02:45+00:00Z,2022-03-04T03:00+00:00Z,10Y1001A1001A83F,MAW,B17,853
2022-03-04T03:00+00:00Z,2022-03-04T03:15+00:00Z,10Y1001A1001A83F,MAW,B17,852
2022-03-04T03:15+00:00Z,2022-03-04T03:30+00:00Z,10Y1001A1001A83F,MAW,B17,865
2022-03-04T03:30+00:00Z,2022-03-04T03:45+00:00Z,10Y1001A1001A83F,MAW,B17,868
2022-03-04T03:45+00:00Z,2022-03-04T04:00+00:00Z,10Y1001A1001A83F,MAW,B17,866
2022-03-04T04:00+00:00Z,2022-03-04T04:15+00:00Z,10Y1001A1001A83F,MAW,B17,872
2022-03-04T04:15+00:00Z,2022-03-04T04:30+00:00Z,10Y1001A1001A83F,MAW,B17,867
2022-03-04T04:30+00:00Z,2022-03-04T04:45+00:00Z,10Y1001A1001A83F,MAW,B17,880
2022-03-04T04:45+00:00Z,2022-03-04T05:00+00:00Z,10Y1001A1001A83F,MAW,B17,861
2022-03-04T05:00+00:00Z,2022-03-04T05:15+00:00Z,10Y1001A1001A83F,MAW,B17,877
2022-03-04T05:15+00:00Z,2022-03-04T05:30+00:00Z,10Y1001A1001A83F,MAW,B17,881
2022-03-04T05:30+00:00Z,2022-03-04T05:45+00:00Z,10Y1001A1001A83F,MAW,B17,878
2022-03-04T05:45+00:00Z,2022-03-04T06:00+00:00Z,10Y1001A1001A83F,MAW,B17,872
2022-03-04T06:00+00:00Z,2022-03-04T06:15+00:00Z,10Y1001A1001A83F,MAW,B17,875
2022-03-04T06:15+00:00Z,2022-03-04T06:30+00:00Z,10Y1001A1001A83F,MAW,B17,881
2022-03-04T06:30+00:00Z,2022-03-04T06:45+00:00Z,10Y1001A1001A83F,MAW,B17,877
2022-03-04T06:45+00:00Z,2022-03-04T07:00+00:00Z,10Y1001A1001A83F,MAW,B17,876
2022-03-04T07:00+00:00Z,2022-03-04T07:15+00:00Z,10Y1001A1001A83F,MAW,B17,876
2022-03-04T07:15+00:00Z,2022-03-04T07:30+00:00Z,10Y1001A1001A83F,MAW,B17,884
2022-03-04T07:30+00:00Z,2022-03-04T07:45+00:00Z,10Y1001A1001A83F,MAW,B17,875
2022-03-04T07:45+00:00Z,2022-03-04T08:00+00:00Z,10Y1001A1001A83F,MAW,B17,879
2022-03-04T08:00+00:00Z,2022-03-04T08:15+00:00Z,10Y1001A1001A83F,MAW,B17,877
2022-03-04T08:15+00:00Z,2022-03-04T08:30+00:00Z,10Y1001A1001A83F,MAW,B17,881
2022-03-04T08:30+00:00Z,2022-03-04T08:45+00:00Z,10Y1001A1001A83F,MAW,B17,868
2022-03-04T08:45+00:00Z,2022-03-04T09:00+00:00Z,10Y1001A1001A83F,MAW,B17,886
2022-03-04T09:00+00:00Z,2022-03-04T09:15+00:00Z,10Y1001A1001A83F,MAW,B17,887
2022-03-04T09:15+00:00Z,2022-03-04T09:30+00:00Z,10Y1001A1001A83F,MAW,B17,885
2022-03-04T09:30+00:00Z,2022-03-04T09:45+00:00Z,10Y1001A1001A83F,MAW,B17,877
2022-03-04T09:45+00:00Z,2022-03-04T10:00+00:00Z,10Y1001A1001A83F,MAW,B17,890
2022-03-04T10:00+00:00Z,2022-03-04T10:15+00:00Z,10Y1001A1001A83F,MAW,B17,884
2022-03-04T10:15+00:00Z,2022-03-04T10:30+00:00Z,10Y1001A1001A83F,MAW,B17,889
2022-03-04T10:30+00:00Z,2022-03-04T10:45+00:00Z,10Y1001A1001A83F,MAW,B17,887
