StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-04-10T23:45+00:00Z,2022-04-11T00:00+00:00Z,10YHU-MAVIR----U,MAW,B02,325
2022-04-11T00:00+00:00Z,2022-04-11T00:15+00:00Z,10YHU-MAVIR----U,MAW,B02,318
2022-04-11T00:15+00:00Z,2022-04-11T00:30+00:00Z,10YHU-MAVIR----U,MAW,B02,296
2022-04-11T00:30+00:00Z,2022-04-11T00:45+00:00Z,10YHU-MAVIR----U,MAW,B02,287
2022-04-11T00:45+00:00Z,2022-04-11T01:00+00:00Z,10YHU-MAVIR----U,MAW,B02,310
2022-04-11T01:00+00:00Z,2022-04-11T01:15+00:00Z,10YHU-MAVIR----U,MAW,B02,325
2022-04-11T01:15+00:00Z,2022-04-11T01:30+00:00Z,10YHU-MAVIR----U,MAW,B02,319
2022-04-11T01:30+00:00Z,2022-04-11T01:45+00:00Z,10YHU-MAVIR----U,MAW,B02,316
2022-04-11T01:45+00:00Z,2022-04-11T02:00+00:00Z,10YHU-MAVIR----U,MAW,B02,294
2022-04-11T02:00+00:00Z,2022-04-11T02:15+00:00Z,10YHU-MAVIR----U,MAW,B02,288
2022-04-11T02:15+00:00Z,2022-04-11T02:30+00:00Z,10YHU-MAVIR----U,MAW,B02,310
2022-04-11T02:30+00:00Z,2022-04-11T02:45+00:00Z,10YHU-MAVIR----U,MAW,B02,331
2022-04-11T02:45+00:00Z,2022-04-11T03:00+00:00Z,10YHU-MAVIR----U,MAW,B02,309
2022-04-11T03:00+00:00Z,2022-04-11T03:15+00:00Z,10YHU-MAVIR----U,MAW,B02,301
2022-04-11T03:15+00:00Z,2022-04-11T03:30+00:00Z,10YHU-MAVIR----U,MAW,B02,324
2022-04-11T03:30+00:00Z,2022-04-11T03:45+00:00Z,10YHU-MAVIR----U,MAW,B02,317
2022-04-11T03:45+00:00Z,2022-04-11T04:00+00:00Z,10YHU-MAVIR----U,MAW,B02,272
2022-04-11T04:00+00:00Z,2022-04-11T04:15+00:00Z,10YHU-MAVIR----U,MAW,B02,269
2022-04-11T04:15+00:00Z,2022-04-11T04:30+00:00Z,10YHU-MAVIR----U,MAW,B02,287
