StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-01-16T23:45+00:00Z,2022-01-17T00:00+00:00Z,10YNL----------L,MAW,B18,737
2022-01-17T00:00+00:00Z,2022-01-17T00:15+00:00Z,10YNL----------L,MAW,B18,741
2022-01-17T00:15+00:00Z,2022-01-17T00:30+00:00Z,10YNL----------L,MAW,B18,714
2022-01-17T00:30+00:00Z,2022-01-17T00:45+00:00Z,10YNL----------L,MAW,B18,752
2022-01-17T00:45+00:00Z,2022-01-17T01:00+00:00Z,10YNL----------L,MAW,B18,870
2022-01-17T01:00+00:00Z,2022-01-17T01:15+00:00Z,10YNL----------L,MAW,B18,865
2022-01-17T01:15+00:00Z,2022-01-17T01:30+00:00Z,10YNL----------L,MAW,B18,873
2022-01-17T01:30+00:00Z,2022-01-17T01:45+00:00Z,10YNL----------L,MAW,B18,828
2022-01-17T01:45+00:00Z,2022-01-17T02:00+00:00Z,10YNL----------L,MAW,B18,835
2022-01-17T02:00+00:00Z,2022-01-17T02:15+00:00Z,10YNL----------L,MAW,B18,907
2022-01-17T02:15+00:00Z,2022-01-17T02:30+00:00Z,10YNL----------L,MAW,B18,933
2022-01-17T02:30+00:00Z,2022-01-17T02:45+00:00Z,10YNL----------L,MAW,B18,919
2022-01-17T02:45+00:00Z,2022-01-17T03:00+00:00Z,10YNL----------L,MAW,B18,875
2022-01-17T03:00+00:00Z,2022-01-17T03:15+00:00Z,10YNL----------L,MAW,B18,827
2022-01-17T03:15+00:00Z,2022-01-17T03:30+00:00Z,10YNL----------L,MAW,B18,761
2022-01-17T03:30+00:00Z,2022-01-17T03:45+00:00Z,10YNL----------L,MAW,B18,818
2022-01-17T03:45+00:00Z,2022-01-17T04:00+00:00Z,10YNL----------L,MAW,B18,851
2022-01-17T04:00+00:00Z,2022-01-17T04:15+00:00Z,10YNL----------L,MAW,B18,959
2022-01-17T04:15+00:00Z,2022-01-17T04:30+00:00Z,10YNL----------L,MAW,B18,1040
2022-01-17T04:30+00:00Z,2022-01-17T04:45+00:00Z,10YNL----------L,MAW,B18,1031
2022-01-17T04:45+00:00Z,2022-01-17T05:00+00:00Z,10YNL----------L,MAW,B18,1089
2022-01-17T05:00+00:00Z,2022-01-17T05:15+00:00Z,10YNL----------L,MAW,B18,1115
2022-01-17T05:15+00:00Z,2022-01-17T05:30+00:00Z,10YNL----------L,MAW,B18,1020
2022-01-17T05:30+00:00Z,2022-01-17T05:45+00:00Z,10YNL----------L,MAW,B18,975
2022-01-17T05:45+00:00Z,2022-01-17T06:00+00:00Z,10YNL----------L,MAW,B18,826
2022-01-17T06:00+00:00Z,2022-01-17T06:15+00:00Z,10YNL----------L,MAW,B18,879
2022-01-17T06:15+00:00Z,2022-01-17T06:30+00:00Z,10YNL----------L,MAW,B18,938
2022-01-17T06:30+00:00Z,2022-01-17T06:45+00:00Z,10YNL----------L,MAW,B18,929
2022-01-17T06:45+00:00Z,2022-01-17T07:00+00:00Z,10YNL----------L,MAW,B18,1062
2022-01-17T07:00+00:00Z,2022-01-17T07:15+00:00Z,10YNL----------L,MAW,B18,1025
2022-01-17T07:15+00:00Z,2022-01-17T07:30+00:00Z,10YNL----------L,MAW,B18,1021
2022-01-17T07:30+00:00Z,2022-01-17T07:45+00:00Z,10YNL----------L,MAW,B18,1049
2022-01-17T07:45+00:00Z,2022-01-17T08:00+00:00Z,10YNL----------L,MAW,B18,1144
2022-01-17T08:00+00:00Z,2022-01-17T08:15+00:00Z,10YNL----------L,MAW,B18,1097
2022-01-17T08:15+00:00Z,2022-01-17T08:30+00:00Z,10YNL----------L,MAW,B18,1035
2022-01-17T08:30+00:00Z,2022-01-17T08:45+00:00Z,10YNL----------L,MAW,B18,1022
2022-01-17T08:45+00:00Z,2022-01-17T09:00+00:00Z,10YNL----------L,MAW,B18,1002
2022-01-17T09:00+00:00Z,2022-01-17T09:15+00:00Z,10YNL----------L,MAW,B18,1020
2022-01-17T09:15+00:00Z,2022-01-17T09:30+00:00Z,10YNL----------L,MAW,B18,1078
2022-01-17T09:30+00:00Z,2022-01-17T09:45+00:00Z,10YNL----------L,MAW,B18,1082
2022-01-17T09:45+00:00Z,2022-01-17T10:00+00:00Z,10YNL----------L,MAW,B18,1040
2022-01-17T10:00+00:00Z,2022-01-17T10:15+00:00Z,10YNL----------L,MAW,B18,1064
2022-01-17T10:15+00:00Z,2022-01-17T10:30+00:00Z,10YNL----------L,MAW,B18,1069
2022-01-17T10:30+00:00Z,2022-01-17T10:45+00:00Z,10YNL----------L,MAW,B18,1056
2022-01-17T10:45+00:00Z,2022-01-17T11:00+00:00Z,10YNL----------L,MAW,B18,1106
2022-01-17T11:00+00:00Z,2022-01-17T11:15+00:00Z,10YNL----------L,MAW,B18,1078
2022-01-17T11:15+00:00Z,2022-01-17T11:30+00:00Z,10YNL----------L,MAW,B18,1061
2022-01-17T11:30+00:00Z,2022-01-17T11:45+00:00Z,10YNL----------L,MAW,B18,1083
2022-01-17T11:45+00:00Z,2022-01-17T12:00+00:00Z,10YNL----------L,MAW,B18,1087
2022-01-17T12:00+00:00Z,2022-01-17T12:15+00:00Z,10YNL----------L,MAW,B18,1081
2022-01-17T12:15+00:00Z,2022-01-17T12:30+00:00Z,10YNL----------L,MAW,B18,1051
2022-01-17T12:30+00:00Z,2022-01-17T12:45+00:00Z,10YNL----------L,MAW,B18,1025
2022-01-17T12:45+00:00Z,2022-01-17T13:00+00:00Z,10YNL----------L,MAW,B18,1029
2022-01-17T13:00+00:00Z,2022-01-17T13:15+00:00Z,10YNL----------L,MAW,B18,1041
2022-01-17T13:15+00:00Z,2022-01-17T13:30+00:00Z,10YNL----------L,MAW,B18,1021
2022-01-17T13:30+00:00Z,2022-01-17T13:45+00:00Z,10YNL----------L,MAW,B18,1001
2022-01-17T13:45+00:00Z,2022-01-17T14:00+00:00Z,10YNL----------L,MAW,B18,972
2022-01-17T14:00+00:00Z,2022-01-17T14:15+00:00Z,10YNL----------L,MAW,B18,960
2022-01-17T14:15+00:00Z,2022-01-17T14:30+00:00Z,10YNL----------L,MAW,B18,895
2022-01-17T14:30+00:00Z,2022-01-17T14:45+00:00Z,10YNL----------L,MAW,B18,831
2022-01-17T14:45+00:00Z,2022-01-17T15:00+00:00Z,10YNL----------L,MAW,B18,746
2022-01-17T15:00+00:00Z,2022-01-17T15:15+00:00Z,10YNL----------L,MAW,B18,704
2022-01-17T15:15+00:00Z,2022-01-17T15:30+00:00Z,10YNL----------L,MAW,B18,643
2022-01-17T15:30+00:00Z,2022-01-17T15:45+00:00Z,10YNL----------L,MAW,B18,594
2022-01-17T15:45+00:00Z,2022-01-17T16:00+00:00Z,10YNL----------L,MAW,B18,617
2022-01-17T16:00+00:00Z,2022-01-17T16:15+00:00Z,10YNL----------L,MAW,B18,699
2022-01-17T16:15+00:00Z,2022-01-17T16:30+00:00Z,10YNL----------L,MAW,B18,698
2022-01-17T16:30+00:00Z,2022-01-17T16:45+00:00Z,10YNL----------L,MAW,B18,696
2022-01-17T16:45+00:00Z,2022-01-17T17:00+00:00Z,10YNL----------L,MAW,B18,670
2022-01-17T17:00+00:00Z,2022-01-17T17:15+00:00Z,10YNL----------L,MAW,B18,677
2022-01-17T17:15+00:00Z,2022-01-17T17:30+00:00Z,10YNL----------L,MAW,B18,631
2022-01-17T17:30+00:00Z,2022-01-17T17:45+00:00Z,10YNL----------L,MAW,B18,655
2022-01-17T17:45+00:00Z,2022-01-17T18:00+00:00Z,10YNL----------L,MAW,B18,560
2022-01-17T18:00+00:00Z,2022-01-17T18:15+00:00Z,10YNL----------L,MAW,B18,561
2022-01-17T18:15+00:00Z,2022-01-17T18:30+00:00Z,10YNL----------L,MAW,B18,548
2022-01-17T18:30+00:00Z,2022-01-17T18:45+00:00Z,10YNL----------L,MAW,B18,543
2022-01-17T18:45+00:00Z,2022-01-17T19:00+00:00Z,10YNL----------L,MAW,B18,461
2022-01-17T19:00+00:00Z,2022-01-17T19:15+00:00Z,10YNL----------L,MAW,B18,442
2022-01-17T19:15+00:00Z,2022-01-17T19:30+00:00Z,10YNL----------L,MAW,B18,428
2022-01-17T19:30+00:00Z,2022-01-17T19:45+00:00Z,10YNL----------L,MAW,B18,370
2022-01-17T19:45+00:00Z,2022-01-17T20:00+00:00Z,10YNL----------L,MAW,B18,343
2022-01-17T20:00+00:00Z,2022-01-17T20:15+00:00Z,10YNL----------L,MAW,B18,352
2022-01-17T20:15+00:00Z,2022-01-17T20:30+00:00Z,10YNL----------L,MAW,B18,338
2022-01-17T20:30+00:00Z,2022-01-17T20:45+00:00Z,10YNL----------L,MAW,B18,288
2022-01-17T20:45+00:00Z,2022-01-17T21:00+00:00Z,10YNL----------L,MAW,B18,241
2022-01-17T21:00+00:00Z,2022-01-17T21:15+00:00Z,10YNL----------L,MAW,B18,221
2022-01-17T21:15+00:00Z,2022-01-17T21:30+00:00Z,10YNL----------L,MAW,B18,256
2022-01-17T21:30+00:00Z,2022-01-17T21:45+00:00Z,10YNL----------L,MAW,B18,256
2022-01-17T21:45+00:00Z,2022-01-17T22:00+00:00Z,10YNL----------L,MAW,B18,244
2022-01-17T22:00+00:00Z,2022-01-17T22:15+00:00Z,10YNL----------L,MAW,B18,235
2022-01-17T22:15+00:00Z,2022-01-17T22:30+00:00Z,10YNL----------L,MAW,B18,196
2022-01-17T22:30+00:00Z,2022-01-17T22:45+00:00Z,10YNL----------L,MAW,B18,192
2022-01-17T22:45+00:00Z,2022-01-17T23:00+00:00Z,10YNL----------L,MAW,B18,219
2022-01-17T23:00+00:00Z,2022-01-17T23:15+00:00Z,10YNL----------L,MAW,B18,234
2022-01-17T23:15+00:00Z,2022-01-17T23:30+00:00Z,10YNL----------L,MAW,B18,243
2022-01-17T23:30+00:00Z,2022-01-17T23:45+00:00Z,10YNL----------L,MAW,B18,234
2022-01-16T23:45+00:00Z,2022-01-17T00:00+00:00Z,,MAW,B18,1
2022-01-17T00:00+00:00Z,2022-01-17T00:15+00:00Z,,MAW,B18,2
2022-01-17T00:15+00:00Z,2022-01-17T00:30+00:00Z,,MAW,B18,2
2022-01-17T00:30+00:00Z,2022-01-17T00:45+00:00Z,,MAW,B18,1
2022-01-17T00:45+00:00Z,2022-01-17T01:00+00:00Z,,MAW,B18,2
2022-01-17T01:00+00:00Z,2022-01-17T01:15+00:00Z,,MAW,B18,3
2022-01-17T01:15+00:00Z,2022-01-17T01:30+00:00Z,,MAW,B18,2
2022-01-17T01:30+00:00Z,2022-01-17T01:45+00:00Z,,MAW,B18,2
2022-01-17T01:45+00:00Z,2022-01-17T02:00+00:00Z,,MAW,B18,3
2022-01-17T02:00+00:00Z,2022-01-17T02:15+00:00Z,,MAW,B18,3
2022-01-17T02:15+00:00Z,2022-01-17T02:30+00:00Z,,MAW,B18,3
2022-01-17T02:30+00:00Z,2022-01-17T02:45+00:00Z,,MAW,B18,3
2022-01-17T02:45+00:00Z,2022-01-17T03:00+00:00Z,,MAW,B18,4
2022-01-17T03:00+00:00Z,2022-01-17T03:15+00:00Z,,MAW,B18,4
2022-01-17T03:15+00:00Z,2022-01-17T03:30+00:00Z,,MAW,B18,3
