StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-02-11T23:30+00:00Z,2022-02-12T00:00+00:00Z,10Y1001A1001A92E,MAW,B19,618
2022-02-12T00:00+00:00Z,2022-02-12T00:30+00:00Z,10Y1001A1001A92E,MAW,B19,618
2022-02-12T00:30+00:00Z,2022-02-12T01:00+00:00Z,10Y1001A1001A92E,MAW,B19,675
2022-02-12T01:00+00:00Z,2022-02-12T01:30+00:00Z,10Y1001A1001A92E,MAW,B19,633
2022-02-12T01:30+00:00Z,2022-02-12T02:00+00:00Z,10Y1001A1001A92E,MAW,B19,562
2022-02-12T02:00+00:00Z,2022-02-12T02:30+00:00Z,10Y1001A1001A92E,MAW,B19,555
2022-02-12T02:30+00:00Z,2022-02-12T03:00+00:00Z,10Y1001A1001A92E,MAW,B19,548
2022-02-12T03:00+00:00Z,2022-02-12T03:30+00:00Z,10Y1001A1001A92E,MAW,B19,519
2022-02-12T03:30+00:00Z,2022-02-12T04:00+00:00Z,10Y1001A1001A92E,MAW,B19,532
2022-02-12T04:00+00:00Z,2022-02-12T04:30+00:00Z,10Y1001A1001A92E,MAW,B19,537
2022-02-12T04:30+00:00Z,2022-02-12T05:00+00:00Z,10Y1001A1001A92E,MAW,B19,529
2022-02-12T05:00+00:00Z,2022-02-12T05:30+00:00Z,10Y1001A1001A92E,MAW,B19,518
2022-02-12T05:30+00:00Z,2022-02-12T06:00+00:00Z,10Y1001A1001A92E,MAW,B19,616
2022-02-12T06:00+00:00Z,2022-02-12T06:30+00:00Z,10Y1001A1001A92E,MAW,B19,636
2022-02-12T06:30+00:00Z,2022-02-12T07:00+00:00Z,10Y1001A1001A92E,MAW,B19,771
2022-02-12T07:00+00:00Z,2022-02-12T07:30+00:00Z,10Y1001A1001A92E,MAW,B19,817
2022-02-12T07:30+00:00Z,2022-02-12T08:00+00:00Z,10Y1001A1001A92E,MAW,B19,783
2022-02-12T08:00+00:00Z,2022-02-12T08:30+00:00Z,10Y1001A1001A92E,MAW,B19,793
2022-02-12T08:30+00:00Z,2022-02-12T09:00+00:00Z,10Y1001A1001A92E,MAW,B19,767
2022-02-12T09:00+00:00Z,2022-02-12T09:30+00:00Z,10Y1001A1001A92E,MAW,B19,766
2022-02-12T09:30+00:00Z,2022-02-12T10:00+00:00Z,10Y1001A1001A92E,MAW,B19,725
2022-02-12T10:00+00:00Z,2022-02-12T10:30+00:00Z,10Y1001A1001A92E,MAW,B19,729
2022-02-12T10:30+00:00Z,2022-02-12T11:00+00:00Z,10Y1001A1001A92E,MAW,B19,722
2022-02-12T11:00+00:00Z,2022-02-12T11:30+00:00Z,10Y1001A1001A92E,MAW,B19,656
2022-02-12T11:30+00:00Z,2022-02-12T12:00+00:00Z,10Y1001A1001A92E,MAW,B19,718
2022-02-12T12:00+00:00Z,2022-02-12T12:30+00:00Z,10Y1001A1001A92E,MAW,B19,705
2022-02-12T12:30+00:00Z,2022-02-12T13:00+00:00Z,10Y1001A1001A92E,MAW,B19,815
2022-02-12T13:00+00:00Z,2022-02-12T13:30+00:00Z,10Y1001A1001A92E,MAW,B19,838
2022-02-12T13:30+00:00Z,2022-02-12T14:00+00:00Z,10Y1001A1001A92E,MAW,B19,745
2022-02-12T14:00+00:00Z,2022-02-12T14:30+00:00Z,10Y1001A1001A92E,MAW,B19,759
2022-02-12T14:30+00:00Z,2022-02-12T15:00+00:00Z,10Y1001A1001A92E,MAW,B19,744
2022-02-12T15:00+00:00Z,2022-02-12T15:30+00:00Z,10Y1001A1001A92E,MAW,B19,671
2022-02-12T15:30+00:00Z,2022-02-12T16:00+00:00Z,10Y1001A1001A92E,MAW,B19,653
2022-02-12T16:00+00:00Z,2022-02-12T16:30+00:00Z,10Y1001A1001A92E,MAW,B19,652
2022-02-12T16:30+00:00Z,2022-02-12T17:00+00:00Z,10Y1001A1001A92E,MAW,B19,631
2022-02-12T17:00+00:00Z,2022-02-12T17:30+00:00Z,10Y1001A1001A92E,MAW,B19,574
2022-02-12T17:30+00:00Z,2022-02-12T18:00+00:00Z,10Y1001A1001A92E,MAW,B19,611
2022-02-12T18:00+00:00Z,2022-02-12T18:30+00:00Z,10Y1001A1001A92E,MAW,B19,559
2022-02-12T18:30+00:00Z,2022-02-12T19:00+00:00Z,10Y1001A1001A92E,MAW,B19,615
2022-02-12T19:00+00:00Z,2022-02-12T19:30+00:00Z,10Y1001A1001A92E,MAW,B19,534
2022-02-12T19:30+00:00Z,2022-02-12T20:00+00:00Z,10Y1001A1001A92E,MAW,B19,458
2022-02-12T20:00+00:00Z,2022-02-12T20:30+00:00Z,10Y1001A1001A92E,MAW,B19,456
2022-02-12T20:30+00:00Z,2022-02-12T21:00+00:00Z,10Y1001A1001A92E,MAW,B19,507
2022-02-12T21:00+00:00Z,2022-02-12T21:30+00:00Z,10Y1001A1001A92E,MAW,B19,499
2022-02-12T21:30+00:00Z,2022-02-12T22:00+00:00Z,10Y1001A1001A92E,MAW,B19,343
